POA_CODE_2021,POA_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
0800,0800,5053.0,5412.0,5862.0,6288.0,7056.0,7591.0,7917.0,7786.0,7633.0,7612.0,7578.0,7512.0,7671.0
0810,0810,31864.0,32793.0,34133.0,34761.0,35517.0,36029.0,36466.0,36370.0,36264.0,36136.0,36001.0,36003.0,36130.0
0812,0812,20664.0,20692.0,20760.0,20641.0,20455.0,20211.0,20163.0,20015.0,19872.0,19808.0,19793.0,19788.0,19839.0
0820,0820,20605.0,21201.0,21865.0,20978.0,20909.0,21067.0,21340.0,21081.0,20936.0,20983.0,20950.0,20934.0,21088.0
0822,0822,27931.705783978327,28269.269130666005,28672.60191559739,28582.42502047805,28566.926989488205,28376.016062289207,28353.070141598033,28337.620642087433,28434.623186715206,28563.790516736968,28660.078688840586,28825.535796647666,28915.989636191316
0828,0828,1812.0,1734.0,1662.0,1767.0,1457.0,1308.0,1389.0,1463.0,1566.0,1674.0,1789.0,1936.0,2101.0
0829,0829,1224.0,1387.0,1539.0,1707.0,1805.0,1979.0,2005.0,1935.0,1740.0,1842.0,2155.0,2142.0,2176.0
0830,0830,19090.0,19303.0,19553.0,19538.0,19612.0,19456.0,19522.0,19586.0,19575.0,19577.0,19629.0,19736.0,19838.0
0832,0832,10209.0,11253.0,12850.0,14415.0,15574.0,16495.0,17206.0,17940.0,18551.0,19251.0,19827.0,20632.0,21170.0
0834,0834,2021.8851540616247,2000.3855042016808,1995.252801120448,2014.5294117647059,1963.752100840336,1927.3417366946778,1925.9306722689075,1915.9317226890757,1898.4044117647059,1892.2440476190477,1905.1701680672268,1944.623599439776,1981.9905462184875
0835,0835,3461.1029411764703,3755.6323529411766,4116.735294117647,4315.220588235294,5366.176470588235,5558.705882352941,5422.176470588235,5002.264705882353,4222.970588235294,4010.25,3455.2941176470586,3493.6323529411766,3552.205882352941
0836,0836,7333.271676300578,7591.092485549133,7890.578034682081,7994.739884393064,8105.06936416185,8238.231213872832,8212.745664739885,8106.93063583815,8013.947976878613,7998.462427745665,8054.1387283237,8144.468208092486,8252.630057803468
