LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
12930,Georges River,1,New South Wales,141788.6486090776,144146.84187408493,146592.0805270864,148870.20497803806,151055.77306002929,153147.04538799415,155271.6588579795,156221.317715959,156506.3513909224,155914.60175695462,152796.1932650073,153238.95461200585,158056.46559297218
12950,Gilgandra,1,New South Wales,4520.5684210526315,4481.0526315789475,4445.684210526316,4400.7052631578945,4360.726315789474,4320.210526315789,4308.505263157895,4304.263157894737,4326.484210526316,4330.778947368421,4321.536842105263,4308.073684210526,4322.073684210526
13010,Glen Innes Severn,1,New South Wales,8911.0,8905.0,8909.0,8919.0,8926.0,8934.0,8937.0,8941.0,8947.0,8946.0,8925.0,8944.0,8989.0
13310,Goulburn Mulwaree,1,New South Wales,28351.88033351089,28713.53473776023,29175.926009878272,29476.46118956153,29809.27111520046,30242.459105407117,30638.017089861427,31068.98231126832,31487.256353915338,31930.306199601837,32145.792030980912,32386.498545379,32662.283597992628
13340,Greater Hume,1,New South Wales,10080.89090909091,10163.963636363636,10222.254545454545,10320.327272727272,10443.363636363636,10521.4,10601.327272727272,10701.327272727272,10801.290909090909,10931.254545454545,11109.145454545454,11295.927272727273,11510.781818181818
13450,Griffith,1,New South Wales,25415.102857142858,25623.37142857143,25714.102857142858,25951.64,26180.445714285714,26365.714285714286,26651.37142857143,26894.297142857144,27100.222857142857,27246.88,27193.53714285714,26956.0,26999.268571428573
13550,Gunnedah,1,New South Wales,12519.0,12514.0,12481.0,12468.0,12447.0,12491.0,12662.0,12799.0,12921.0,13024.0,13088.0,13148.0,13285.0
13660,Gwydir,1,New South Wales,5080.682039369215,5145.409176403379,5190.242901551692,5221.756139555263,5272.902810030428,5295.487821922958,5240.508096080632,5187.150256915649,5122.068446958775,5015.994422175563,4909.28882345854,4898.613665602183,4904.777923439272
13800,Hawkesbury,1,New South Wales,64368.23399363283,64684.108418818534,65159.43509020163,65518.30474000707,65905.17438981253,66362.00813583304,66704.58825610188,66986.56915458082,67240.22833392289,67573.95808277326,67601.29306685533,68012.16024053768,68582.1027591086
13850,Hay,1,New South Wales,3066.6589147286822,3046.6356589147285,3032.720930232558,3020.8062015503874,3008.6744186046512,2998.5426356589146,2977.5426356589146,2957.5426356589146,2932.4341085271317,2909.4341085271317,2884.3255813953488,2840.5426356589146,2834.5426356589146
13910,Hilltops,1,New South Wales,18793.0,18807.0,18783.0,18776.0,18760.0,18756.0,18906.0,19019.0,19131.0,19205.0,19223.0,19242.0,19260.0
14000,Hornsby,1,New South Wales,143275.04825174826,143761.37132867132,144462.3076923077,145266.42867132867,146149.92587412588,147386.53286713286,149603.03356643356,151811.77622377622,153218.4986013986,154040.4062937063,152266.53076923077,151893.5902097902,154183.41048951048
14100,Hunters Hill,1,New South Wales,13897.0,14070.0,14242.0,14428.0,14540.0,14656.0,14621.0,14563.0,14427.0,14269.0,13596.0,13921.0,14026.0
14170,Inner West,1,New South Wales,180298.5,182024.0,184281.5,186459.0,188683.5,191184.5,192272.5,192658.5,191963.0,190033.0,183837.0,183123.0,188414.5
14220,Inverell,1,New South Wales,17646.42144759541,17671.622749387127,17685.896561469082,17718.21831398868,17734.369959671316,17786.176832571655,17840.244545034955,17895.92420023607,17973.184009261222,17984.121817211948,17919.740747480402,18001.15010933386,18103.16650941255
14300,Junee,1,New South Wales,6108.718562874252,6144.65868263473,6223.413173652694,6293.748502994012,6348.083832335329,6427.023952095808,6440.1556886227545,6444.5988023952095,6450.784431137725,6462.095808383234,6452.395209580838,6453.952095808383,6504.952095808383
14350,Kempsey,1,New South Wales,29129.960372960373,29205.682983682982,29267.850815850816,29334.86247086247,29363.729603729604,29416.596736596737,29772.850815850816,30082.815850815852,30350.92540792541,30604.601398601397,30831.566433566433,31177.0,31449.85547785548
14400,Kiama,1,New South Wales,20818.015625,21002.7109375,21261.4375,21611.40625,21889.34375,22109.5234375,22301.9765625,22482.9140625,22714.609375,22876.578125,22973.0625,22955.7578125,22989.90625
